Приложение;Процесс;День санразрыва;Код в графике;Вхождение;Участок;Цех;Средство;Птичников в цехе;Ед.изм;Норма средства на птичник;Раствор, л;Концентрация;Как задано
12;Газация ракет;7;ГГ;;БП 13;БП 13;Клеодезив;12;шт;5.0;;;средство
12;Газация ракет;7;ГГ;;БП 14;БП 14;Клеодезив;12;шт;5.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;Г;Г 1;Клеодезив;4;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;Г;Г 2;Клеодезив;4;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;Г;Г 3;Клеодезив;4;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;Г;Г 4;Клеодезив;4;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;Г;Г 5;Клеодезив;4;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;Д;Д 1;Клеодезив;4;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;Д;Д 2;Клеодезив;4;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;Д;Д 3;Клеодезив;4;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;Д;Д 4;Клеодезив;4;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;Б;Б;Клеодезив;10;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;Е;Е;Клеодезив;10;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;А;А;Клеодезив;10;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;Ж;Ж;Клеодезив;5;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;В;В;Клеодезив;15;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;БП 12;БП 12;Клеодезив;12;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;БП 13;БП 13;Клеодезив;12;шт;30.0;;;средство
12;Газация птичников (подготовка);8;ПДГ;;БП 14;БП 14;Клеодезив;12;шт;30.0;;;средство
13;Дезинфекция линий поения (санация 4);8;ПДГ;;Г;Г 1;Хлор ДП -2 Т;4;кг;0.33;;0.02;средство
